timestamp,username,ip_address,status,password_tried
2026-07-30 10:00:00,admin,192.168.1.50,FAILURE,password123
2026-07-30 10:00:05,admin,192.168.1.50,FAILURE,admin123
2026-07-30 10:00:10,admin,192.168.1.50,FAILURE,letmein
2026-07-30 10:00:15,admin,192.168.1.50,FAILURE,welcome
2026-07-30 10:00:20,admin,192.168.1.50,FAILURE,system
2026-07-30 10:00:25,admin,192.168.1.50,FAILURE,root
2026-07-30 10:01:00,alice,192.168.1.10,SUCCESS,alice_secure_pass_99
2026-07-30 10:02:00,bob,10.0.0.15,FAILURE,password
2026-07-30 10:02:10,bob,10.0.0.15,FAILURE,bob123
2026-07-30 10:02:20,bob,10.0.0.15,SUCCESS,bob_pass_2026!
2026-07-30 10:03:00,attacker,198.51.100.42,FAILURE,guess1
2026-07-30 10:03:02,attacker,198.51.100.42,FAILURE,guess2
2026-07-30 10:03:04,attacker,198.51.100.42,FAILURE,guess3
2026-07-30 10:03:06,attacker,198.51.100.42,FAILURE,guess4
2026-07-30 10:03:08,attacker,198.51.100.42,FAILURE,guess5
2026-07-30 10:03:10,attacker,198.51.100.42,FAILURE,guess6
2026-07-30 10:04:00,victim_user,192.168.1.100,FAILURE,qwerty
2026-07-30 10:04:05,victim_user,192.168.1.101,FAILURE,password
2026-07-30 10:04:10,victim_user,192.168.1.102,FAILURE,123456
2026-07-30 10:04:15,victim_user,192.168.1.103,FAILURE,welcome
2026-07-30 10:04:20,victim_user,192.168.1.104,FAILURE,letmein
